,Sentence,Type,Story
166,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  רביעי  תהיה מתמחה בעבודתה.",Descriptive,generated
167,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  ראשון  תהיה מתמחה בעבודתה.",Descriptive,generated
168,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  שישי  תהיה מתמחה בעבודתה.",Descriptive,generated
169,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום  שלישי  תהיה מתמחה בעבודתה.",Descriptive,generated
170,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  כנראה  מתמחה בעבודתה.",Descriptive,generated
171,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  היא  מתמחה בעבודתה.",Descriptive,generated
172,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  שוב  מתמחה בעבודתה.",Descriptive,generated
173,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  אני  מתמחה בעבודתה.",Descriptive,generated
174,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא  לא  מתמחה בעבודתה.",Descriptive,generated
175,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  שוב  בעבודתה.",Descriptive,generated
176,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  כרגיל  בעבודתה.",Descriptive,generated
177,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  מעורבת  בעבודתה.",Descriptive,generated
178,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  עדיין  בעבודתה.",Descriptive,generated
179,"חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  גם  בעבודתה.",Descriptive,generated
180,"גופתו של אורל  בתמונה  מאוד מכיוון שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
181,"גופתו של אורל  30  מאוד מכיוון שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
182,"גופתו של אורל  5  מאוד מכיוון שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
183,"גופתו של אורל  28  מאוד מכיוון שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
184,"גופתו של אורל  2  מאוד מכיוון שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
185,"גופתו של אורל פרופורציונלית מאוד  יחסית  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
186,"גופתו של אורל פרופורציונלית מאוד !  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
187,"גופתו של אורל פרופורציונלית מאוד  בערך  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
188,"גופתו של אורל פרופורציונלית מאוד  כמעט  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
189,"גופתו של אורל פרופורציונלית מאוד  מאוד  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
190,"גופתו של אורל פרופורציונלית מאוד מכיוון  הוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
191,"גופתו של אורל פרופורציונלית מאוד מכיוון  שהוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
192,"גופתו של אורל פרופורציונלית מאוד מכיוון !  שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
193,"גופתו של אורל פרופורציונלית מאוד מכיוון  1  שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
194,"גופתו של אורל פרופורציונלית מאוד מכיוון  והוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
195,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  רק  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
196,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  כמעט  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
197,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  משקלו  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
198,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  בערך  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
199,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  במשקל  56 ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
200,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  כמעט  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
201,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  10  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
202,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  2  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
203,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  1  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
204,"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  40  ק "" ג עם גובה 170 ס "" מ.",Descriptive,generated
205," 2  יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
206," 1  יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
207," א  יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
208," 3  יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
209," ב  יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
210,"לאירה  2  כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
211,"לאירה  1  כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
212,"לאירה  משמאל  כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
213,"לאירה  5  כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
